course_code,course_description,University,Country,Faculty,Department
CIVL4102,"Project: The primary aim of the project is to give each individual student an opportunity to handle a practical engineering problem and to present the findings in a precise and concise report. An important part of the project lies in the way in which the students plan and carry out the task, and apply their engineering knowledge sensibly and diligently to solve the problem. The way in which the students present their findings is equally important.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL2110,"Experiential learning: The course is to provide experiential learning experience to engineering students. The students will have an opportunity to gain practical experience in civil engineering and related professions. Activities for experiential learning will be organized by the course teachers and is mainly related to construction projects in Hong Kong, Mainland China or elsewhere. The course requires students to complete a period of not less than 160 hours of experiential activities normally after the end of the second semester of the student's second academic year of study. Experiential activities such as those of Project Mingde that design and construct facilities relating to education, environmental protection and poverty relief in less privileged regions on the Mainland will be organised for the students to participate. The students are required to complete the activities to the satisfaction of an engineering professional, who will act as the students' supervisors during the course of studies.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3101,"Advanced engineering mechanics: CIVL3101 Advanced Engineering Mechanics aims to introduce the fundamentals of engineering mechanics and how this is linked to engineering solutions by advanced computation techniques based on the finite element method. Equilibrium in elasticity problems and continuity equation for steady-state field problems are discussed, and by means of the virtual work principle, finite element formulation will be systematically established. Using simple 3-node triangular element as an example, engineering problems in structural mechanics and fluid flow are analysed. A computer demonstration will be presented to show students how complex practical engineering problems are tackled, and allow them to develop the ability to analyse realistic engineering problems by themselves and appreciate the capability and limitations of modern computational tools for engineering solutions. Although the subject is a bit theoretical by nature, students interested in advanced computations or pursuing research in the future should find this course useful.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3103,"Construction project management: This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU's Senate, including the teaching and assessment of visual and written communication 'literacies'; and at least 40% of the course grade assigned to communication-rich assessment tasks. This course conveys knowledge of the fundamentals of construction project management, including core principles and their basic applications, which can be further built upon during career development. Topics span both the management of civil engineering designs and the management of construction projects. The course imparts important basics of the planning and control of time and money, and links these to achieving better value for stakeholders, including quality and life cycle considerations. The course is designed to enable civil engineering undergraduates to appreciate and assimilate key principles and good practices for the effective, efficient and ethical management of construction projects. It also aims to equip young civil engineers with the basic knowledge that will enable them to perform well and contribute meaningfully in multi-disciplinary project teams that may include financial and legal professionals, apart from those from other core construction industry disciplines",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3106,"Engineering hydraulics: The course Engineering Hydraulics covers three major parts: Open Channel Flow, Storm Drainage Design and Environmental Hydraulics. In Open Channel Flow, emphasis will be placed on the 'gradually varied' open channel flow (GVF), which deals with the classification of GVF profiles and different methods of computation of flow profiles. Some examples of 'rapidly varied' flow, such as energy dissipators and vertical drop structures, will also be given. In Storm Drainage Design, the classification of drainage and sewerage systems will be introduced. Students will learn the design of urban stormwater drainage system. In Environmental Hydraulics, students will appreciate the assimilative capacity (self purification) of the natural environment, through the study of basic concepts of turbulent mixing and dispersion of pollutants in water. Examples will be given to demonstrate the use of advective diffusion equation to solve actual environmental problems.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3107,"Environmental impact assessment of civil engineering projects: This course will introduce concepts on environmental protection legislation, environmental impact assessment process, environmental impacts during construction and operation of projects, mitigation measures, modelling, environmental monitoring and audit, and case studies.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3108,"Foundation engineering: Foundation engineering deals with the investigation, design and construction of the foundations of engineering structures, which is of prime importance. This course addresses the site investigation of a geotechnical project, follows by the design and construction of shallow and deep foundations in accordance with both ultimate and serviceability criteria. At the end of this course, students should have an overall picture of the geotechnical foundation system and its underlying working principles and potential types of failures. Besides, students should gain fundamental understanding of the geotechnical design and construction of the foundation system.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3111,"Wastewater treatment: This course focuses on the theory, design and operation of wastewater treatment. Emphasis will be placed upon a fundamental understanding of commonly used treatment technologies. Major sections of the course cover the generation and characteristics of municipal wastewater, sewerage systems, preliminary treatment, primary sedimentation, secondary biological treatment, nutrient removal, disinfection, sludge treatment and disposal, unit process selection and treatment plant design, characteristics of industrial wastewater, and physical, chemical and biological processes used in industrial wastewater treatment. The course aims to introduce to students the basic concept of wastewater treatment engineering and the knowledge of unit treatment operations and processes. At the end of this course, students who fulfill the requirement of the course will be able to present the principles and theories behind the common wastewater treatment technologies and to conduct preliminary design of sewerage systems and typical physical, chemical and biological units used in conventional wastewater treatment.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3112,"Prestressed concrete structures: This is an elective course to provide students with the basic knowledge for the design of Prestressed Concrete Structures. Apart from introducing students to the fundamental principles of prestressing and application to design of long-span concrete structures, it also provides the background for future study of bridge engineering. Each student is required to submit a comprehensive design of prestressed concrete structure. Students must have taken the pre-requisite CIVL2113 Structural design before taking this course.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3114,"Slope engineering: This course is to provide our students with basic knowledge of slope stability analysis and design. It covers slope stability analyses, cases of landslide hazards, landslide investigation, uncertainties in slope stability analysis, landslip preventive measures and design, many case studies and actual examples, a Slope/w software workshop and one field technical trip.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3115,"Solid and hazardous waste management: Human activities generate solid waste materials that are often discarded because they are considered useless. However, the disposal of these unwanted waste materials has created a heavy burden to our environment and sometimes even threatened the human health due to its hazardous properties. Waste management has become one of the most significant problems of our time because the current ways of life in Hong Kong and in many areas of the world produce enormous amounts of waste, and most people want to preserve their lifestyle, while also protecting the environment and public health. Furthermore, if managed properly, many of these waste materials can be reused or recovered for becoming a resource for industrial production or energy generation. This course is an introduction to the key managing concepts and processing technologies of solid waste. It aims to train future engineers capable of conducting solid waste project planning for industries, businesses, communities and governmental sectors. The discussion of context will stem from solid waste materials generated from municipal sources, and then include selected examples from industrial sources and/or of hazardous properties with local relevance. After the training provided by this course, students are expected to be capable of using different planning tools to manage the reduction of solid waste generation, the reuse and recovery of waste materials, or the safe and economical disposal strategies.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3116,"Steel structures: This course aims to provide students with knowledge and understanding in behaviour and design of steel structures. Students will be exposed to plastic analysis, residual stress, slender sections, plate girders, steel frames, connections and composite structures. Students must have fulfill the pre-requisite CIVL2113 Structural design requirement before taking this course.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3119,"Traffic engineering: This course is an introduction to the broad disciplines of traffic engineering and its applications to the management and control of traffic flows in highways and the planning and design of highway junctions and interchanges. This course covers the characteristics of traffic flow, mathematical models of traffic flow, traffic management schemes, traffic surveys, traffic design for safety, and the planning and design of different types of road junctions, including priority junctions, roundabouts, traffic signal controlled junctions and grade-separated junctions and interchanges. Hong Kong examples will be used if possible.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3120,"Transportation infrastructure engineering: This course is an introduction to the theory and practice of transportation infrastructure planning, design implementation and maintenance. Emphasis is placed on demand estimation, capacity assessment, facility operational requirements, facility location and arrangements, design codes, properties of construction materials and their underlying theories. The different stages of project development are discussed and illustrated by case studies to cover demand forecast, system planning, feasibility studies, project appraisal, public consultation, preliminary and detailed design, procurement methods and construction.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3121,"Water resources engineering: CIVL3121 is a course that focuses on the concept, theory, design and operation of urban water supply systems. Emphasis will be placed upon a fundamental understanding of commonly used water collection and treatment technologies. Major sections of the course cover water cycle, water consumption and demand, water sources, water collection, storage and transportation, drinking water quality, conventional surface water treatment unit operations and processes, advanced water treatment technologies, water stabilisation and corrosion control, urban water distribution and transmission, water reclamation and total water management. The course aims to introduce to students the basic concept of water resources engineering and the knowledge of urban water supply. At the end of this course, students who fulfill the requirement of the course will be able to present the principles and theories behind the common water collection and treatment technologies and to conduct conceptual design of freshwater collection systems, common surface water treatment processes and urban water distribution systems.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3122,"Wind engineering: The course introduces the effects of wind on buildings, structures and the environment, with emphasis on wind loading of buildings and structures. The course provides students with the basic scientific knowledge of the engineering description of wind and the engineering phenomena of wind flow around bluff bodies, buildings, bridges and civil engineering structures. The basics of flow-structure interaction and wind-induced vibration of structures are also presented. The course then continues to describe the format and features of a wind loading code and how the code should be interpreted with the knowledge of wind engineering. The course also introduces the effects of wind on pedestrian comfort and pollutant dispersion.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3125,"Law for civil engineers: With the changing demands and expectations of civil engineers, law has become an essential part of the body of knowledge important to the discharge of daily tasks of civil engineers. Whether working for governments, private developers, consultants, contractors, or sub-contractors, a core competence for the planning, design, construction and maintenance of projects is the ability to apply principles of laws to their works. These enable the proper management of projects and the areas of disputes arising thereunder. This course aims at introducing the basic principles of laws with particular emphasis on those, which are relevant to the construction industry.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3126,"Engineering practice in Mainland China: To enable students to gain basic understanding of engineering design and construction practice in Mainland China. By introducing some commonly used codes of practice, work procedures, quality control system, engineering requirements, practical design case study, design principles and procedure of foundation, building structures with and without seismic design requirement and bridges/highway structures, students will be better equipped to engage in Mainland engineering projects. At the end of this course, students should be able to understand the work procedure in Mainland China. In design, students should be capable of carrying out correct design of foundations and buildings as per various GB Codes and understand the principle of respective design clauses stipulated in the Codes.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3127,"Professional practice in the built environment: Building construction is one of the major sectors of the construction industry in Hong Kong. Many high-rise buildings were built in the last three decades, calling for sophisticated designs in building layout, structure and foundation. At the same time it demands high technique in construction skill and management. There are government departments ensuring compliance with statutory standards of safety, health and environment of buildings and building works. Civil engineers would join relevant government departments, client organizations, consultant and contracting firms playing a key role in planning, design and construction of buildings. Therefore, the aims of this course are to introduce the basic knowledge and idea of statutory control on building planning, construction and site supervision.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3128,"Structural dynamics and earthquake engineering: Earthquake disaster is increasingly of global concern as it threatens the world's population, economy, and sustainable development. It is the responsibility of civil engineers to design and build earthquake-resistant structures, in order to minimize the earthquake risk. By reducing losses of lives and properties, socio-economical sustainability can be achieved. In this course, students will be introduced to the basic science of earthquakes and its effects on the natural and built environment.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3129,"Numerical analysis in geotechnical engineering: Advances in computer technology greatly enhance the application of numerical methods in geotechnical engineering. The importance of numerical modelling in geotechnical practice has been increased tremendously over the past decade. In this course, the students will be introduced a proper understanding of the subject, covering from fundamentals of the numerical techniques to geotechnical practical considerations. This course first provides students a basic knowledge of numerical techniques including the finite difference and finite element method. The second part of the course focuses on practical considerations required for applying these techniques to geotechnical problems. It will be concluded by a number of geotechnical applications and case histories.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3130,"Structural fire engineering: The major aims of this course are to introduce to the students the concept of fire safety engineering and design of fire resistant structures. Students will be given opportunities to learn Eurocode for the design of steel and concrete structures under elevated temperature. At the end of this course, students will be able to understand the fire development and predict gas temperature of fire compartment and temperature of structural members in fire condition. With respect to structural design, students will appreciate the special structural actions that occur under elevated temperature and capable of carrying out fire resistance design of simple steel and reinforced concrete members.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3131,"Earth retaining system: Limited by the available space, development in urban areas often requires construction underground or near slopes. Earth retaining systems are the engineering solution to meet this requirement. They are widely used in Hong Kong and elsewhere in site formation, road and building works, slope stabilization, support of excavation, etc. This course expounds different types of retaining walls, assessment of wall stability based on geotechnical principles, and the good practice for designing new walls and dealing with substandard walls. An introduction to unsaturated soils is also given. Through the course, students will consolidate their understanding of geotechnical theories and appreciate their practical application to geotechnical designs",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3132,"Geotechnical testing, instrumentation and monitoring: Geotechnical testing aims at understanding the behaviour of geomaterials that engineers are dealing with. A proper instrumentation and monitoring scheme provides crucial information for engineers to judge the effectiveness and safety of the engineering design and construction. This course first provides students advanced knowledge on geotechnical testing from both experimental and theoretical perspectives. Students are required to have hands-on experience on a common geotechnical test – multi-stage triaxial test. Then both practical and theoretical aspects of geotechnical instrumentation and monitoring are addressed.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3133,"Ground improvement: Construction is sometimes needed in ground that has poor strength and stiffness qualities. Improving the ground by reinforcing it or by modifying it can prevent excessive deformations or even failure. This course introduces civil engineering students to ground improvement by modification or reinforcement. At the end of the course, the students will have a good understanding of the different techniques used for ground improvement, and be able to use some of the theory for design.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3134,"Environmental geotechnology: Environmental geotechnology can be defined as an interdisciplinary science which covers soil and rock and their interactions with various environmental cycles, including the atmosphere, biosphere, hydrosphere, and lithosphere, as well as the geo-microbiosphere, and human activities, which includes characteristics of tree and vegetation roots and bacterial activities in the subsurface and subsequent response to the engineering behavior of the soil-water system. The objective of the course is to provide the students with exposure to the geotechnical nature of environmental problems through discussions of contaminant transport in porous media and relationship with remediation technologies for hazardous waste sites and discussions of soil properties relative to waste containment systems, soil stability, and permeability. At the end of the course, the students who fulfill the requirements of this course should be able to understand the importance of Geotechnical Engineering related to environmental issues, to perform preliminary designs of different components of a municipal landfill, and to select appropriate remediation technologies for a given contaminated site.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3135,"Advanced structural analysis: The course covers the advanced structural theory, including the theory of elasticity and plasticity, unsymmetrical bending, torsional analysis of thin-walled sections and yield criteria. Matrix method is introduced for static and stability analyses of two-dimensional structures.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3136,"Special environmental engineering project: The primary aim of the project is to give each individual student an opportunity to handle a practical engineering problem related to environmental engineering and to present the findings in a precise and concise report. An important part of the project lies in the way in which the students plan and carry out the task, and apply their knowledge sensibly and diligently to solve the problem. The way in which the students present their findings is equally important.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3137,"Special geotechnical engineering project: The primary aim of the project is to give each individual student an opportunity to handle a practical engineering problem related to geotechnical engineering and to present the findings in a precise and concise report. An important part of the project lies in the way in which the students plan and carry out the task, and apply their knowledge sensibly and diligently to solve the problem. The way in which the students present their findings is equally important.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3138,"Advanced theory and design of structures: The theory part of the course introduces the theory and applications of the matrix method for static and stability analyses of two-dimensional structures together with the elastic and plastic torsional analyses of thin-walled sections. The design part of the course introduces the concept and principles of inelastic design of reinforced concrete structures with emphasis on plastic hinge formation and moment redistribution. On practical design aspects, ultimate limit state design as per Hong Kong Concrete Code of special structural members such as two-way slabs, flat slabs, torsion members and slender columns will be discussed and explained. The course also includes a section of serviceability limit state design of large civil water-retaining reinforced concrete structures, such as underground box culverts, open channels, manholes, inspection chambers and water/sewage treatment tanks.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3139,"Building information modelling (BIM) management for civil engineering: The aim of this course is to familiarize the students with appropriate skill levels and competency in using BIM technology since the HKSAR Government decreed that BIM technology must be used in the design and construction of all major government capital works projects with a project cost estimate of more than HK$30 million. In this course, students are expected to understand and appreciate the importance of BIM and digital information management in the construction industry and could well prepare themselves for an engineering career.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3140,"Artificial intelligence in civil engineering: This course is designed to equip students with the knowledge of widely used data analytical skills and artificial intelligence algorithms and their applications in real-world civil engineering problems. This course aims to provide students with a comprehensive exposition of artificial intelligence approaches that are useful for solving real-world data analytic problems in civil engineering, particularly transportation engineering. Topics will include linear regression models, logistic regression models, decision trees, ensemble learning, deep learning approaches and unsupervised learning methods. Software packages such as Python will be used to support the demonstration of practical civil engineering applications in the course.",HKU,Hong Kong,Engineering,Civil Engineering
CIVL3141,"Applied deep learning for civil engineers: This course is designed to introduce a wide range of topics from basic data science concepts to deep learning algorithms to students in civil engineering. The course differs from other AI and data science courses by focusing on applications for solving construction and structural engineering problems. This course aims to provide students with a comprehensive understanding of deep learning and data science and their construction and structural engineering applications for civil engineers. The course topics include exploratory data analysis; data processing techniques; deep learning-based computer vision applications for civil structures; generative AI algorithms for civil applications; transformers, large language models and embodied AI for civil applications. Python is the main programming language for the course's continuous assessment, including projects and assignments.",HKU,Hong Kong,Engineering,Civil Engineering
